data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern
18/2021/04 21:20:22,34,19,31,1023,0.01,0.51,1.09,-0.41,0.01,0.64,4.55,4.09,-0.44,4,Golfada
18/2021/04 21:20:22,37,21,32,1023,-0.65,0.51,1.19,-0.38,0.04,0.63,3.93,4.30,-0.75,4,Golfada
18/2021/04 21:20:22,28,21,31,1023,-1.92,0.51,1.04,-0.40,0.00,0.61,3.92,5.37,-0.19,4,Golfada
18/2021/04 21:20:22,41,27,34,1023,2.00,0.51,1.04,-0.41,0.07,0.63,3.51,7.42,-1.10,4,Golfada
18/2021/04 21:20:22,36,22,33,1023,1.24,0.51,1.19,-0.43,-0.01,0.62,3.31,4.86,-1.63,4,Golfada
18/2021/04 21:20:22,38,30,32,1023,1.08,0.51,1.10,-0.48,0.01,0.66,2.89,2.61,-1.36,4,Golfada
18/2021/04 21:20:22,55,39,31,1023,-0.79,0.51,1.12,-0.44,0.01,0.67,3.47,2.47,-0.27,4,Golfada
18/2021/04 21:20:22,39,26,32,1023,-2.00,0.51,1.16,-0.43,0.00,0.65,3.78,2.32,-0.53,4,Golfada
18/2021/04 21:20:25,30,18,32,1023,-2.00,0.51,1.05,-0.41,0.01,0.67,4.35,0.88,0.87,4,Golfada
18/2021/04 21:20:28,37,23,32,1023,-2.00,0.50,1.19,-0.35,0.05,0.62,4.24,4.31,-0.42,4,Golfada
18/2021/04 21:20:31,38,26,33,1023,-0.12,0.51,1.01,-0.23,0.04,0.59,4.02,-2.46,-1.81,4,Golfada
18/2021/04 21:20:34,42,27,32,1023,1.82,0.51,1.09,-0.49,0.03,0.70,4.39,2.61,-0.59,4,Golfada
18/2021/04 21:20:37,35,20,31,1023,0.27,0.51,1.13,-0.37,-0.00,0.61,4.07,3.68,-0.34,4,Golfada
18/2021/04 21:20:40,38,25,32,1023,-0.59,0.51,1.11,-0.39,0.02,0.63,3.66,4.91,-0.45,4,Golfada
18/2021/04 21:20:43,40,28,32,1023,-0.63,0.50,1.17,-0.45,-0.00,0.65,3.31,2.51,-1.35,4,Golfada
18/2021/04 21:20:46,37,22,31,1023,-0.50,0.50,1.20,-0.39,0.01,0.62,4.26,2.60,-0.37,4,Golfada
18/2021/04 21:20:49,31,25,33,1023,-1.12,0.51,1.05,-0.38,0.01,0.61,3.41,5.08,-1.15,4,Golfada
18/2021/04 21:20:52,44,26,31,1023,-0.27,0.51,1.11,-0.42,-0.01,0.66,3.01,5.90,-1.18,4,Golfada
18/2021/04 21:20:55,35,24,31,1023,-0.53,0.51,1.10,-0.42,0.01,0.66,4.19,0.53,0.34,4,Golfada
18/2021/04 21:20:58,35,23,32,1023,0.08,0.50,1.13,-0.40,-0.00,0.61,4.29,4.40,-0.03,4,Golfada
18/2021/04 21:21:01,35,24,32,1023,-0.20,0.50,1.09,-0.40,0.02,0.62,4.01,5.53,-0.05,4,Golfada
18/2021/04 21:21:04,37,24,31,1023,-0.39,0.50,1.14,-0.41,0.00,0.66,3.04,3.89,-1.15,4,Golfada
18/2021/04 21:21:07,44,30,32,1023,-0.87,0.50,1.17,-0.45,0.01,0.67,3.43,2.76,-1.23,4,Golfada
18/2021/04 21:21:10,45,27,33,1023,-1.82,0.50,1.06,-0.52,-0.02,0.62,3.59,7.79,-1.63,4,Golfada
18/2021/04 21:21:13,35,22,32,1023,0.13,0.50,1.09,-0.39,0.03,0.62,3.66,4.48,-1.08,4,Golfada
18/2021/04 21:21:16,40,25,32,1023,1.44,0.50,0.94,-0.34,0.05,0.65,3.99,0.71,-1.40,4,Golfada
18/2021/04 21:21:19,36,24,32,1023,-0.32,0.50,1.10,-0.40,0.01,0.64,3.15,4.38,-1.22,4,Golfada
18/2021/04 21:21:22,44,27,32,1023,-1.34,0.50,1.11,-0.45,-0.04,0.61,4.39,0.85,-0.88,4,Golfada
18/2021/04 21:21:25,34,22,33,1023,-0.54,0.50,1.13,-0.38,-0.00,0.63,4.16,3.44,-0.27,4,Golfada
18/2021/04 21:21:28,34,24,32,1023,0.15,0.49,1.05,-0.35,0.02,0.64,4.02,5.32,-0.62,4,Golfada
18/2021/04 21:21:31,37,26,31,1023,1.13,0.49,1.12,-0.44,0.00,0.65,3.31,3.11,-0.46,4,Golfada
18/2021/04 21:21:34,38,26,32,1023,-2.00,0.49,1.09,-0.52,0.00,0.63,3.39,12.32,-0.73,4,Golfada
18/2021/04 21:21:37,34,19,32,1023,-0.14,0.49,1.11,-0.47,0.01,0.61,3.99,1.79,1.81,4,Golfada
18/2021/04 21:21:40,37,23,32,1023,-0.45,0.49,1.18,-0.41,-0.01,0.61,3.62,5.38,-0.32,4,Golfada
18/2021/04 21:21:43,36,26,34,1023,-1.53,0.49,1.12,-0.42,0.01,0.65,3.16,4.74,-1.26,4,Golfada
18/2021/04 21:21:46,45,27,32,1023,-2.00,0.49,1.11,-0.46,0.03,0.64,3.15,5.01,-0.42,4,Golfada
18/2021/04 21:21:49,39,23,31,1023,-0.37,0.49,1.09,-0.42,0.02,0.66,4.12,2.70,-0.16,4,Golfada
18/2021/04 21:21:52,35,22,32,1023,-0.22,0.49,1.10,-0.40,-0.02,0.61,3.57,5.22,-0.53,4,Golfada
18/2021/04 21:21:55,38,24,32,1023,0.56,0.49,1.14,-0.43,0.03,0.65,2.96,4.66,-1.41,4,Golfada
18/2021/04 21:21:58,42,29,31,1023,-0.33,0.49,1.06,-0.50,-0.02,0.67,3.27,1.85,-0.24,4,Golfada
18/2021/04 21:22:01,32,19,32,1023,-0.54,0.49,1.15,-0.37,-0.00,0.63,4.03,3.31,-0.66,4,Golfada
18/2021/04 21:22:04,33,20,31,1023,-0.34,0.49,1.09,-0.39,0.00,0.62,3.85,5.02,-0.46,4,Golfada
18/2021/04 21:22:07,43,26,32,1023,-0.19,0.49,1.12,-0.43,0.00,0.64,2.85,5.41,-2.00,4,Golfada
18/2021/04 21:22:10,45,27,32,1023,0.34,0.49,1.13,-0.40,0.03,0.67,3.85,3.18,-0.08,4,Golfada
18/2021/04 21:22:13,35,21,32,1023,-2.00,0.49,1.06,-0.37,0.07,0.60,4.06,4.10,-0.13,4,Golfada
18/2021/04 21:22:16,35,24,32,1023,0.36,0.49,1.15,-0.44,0.02,0.65,3.16,5.24,-1.17,4,Golfada
18/2021/04 21:22:19,35,25,32,1023,-2.00,0.49,1.11,-0.43,-0.09,0.63,2.81,3.63,-1.45,4,Golfada
18/2021/04 21:22:22,43,30,32,1023,-1.27,0.49,1.06,-0.44,0.03,0.66,3.67,2.01,-0.66,4,Golfada
18/2021/04 21:22:25,33,21,32,1023,0.18,0.49,1.14,-0.40,0.03,0.64,4.04,3.58,-0.08,4,Golfada
18/2021/04 21:22:28,35,23,31,1023,0.89,0.49,1.11,-0.33,0.12,0.60,3.41,6.44,-0.27,4,Golfada
18/2021/04 21:22:31,35,22,32,1023,0.39,0.49,1.12,-0.40,0.02,0.62,2.51,5.81,-1.96,4,Golfada
18/2021/04 21:22:34,46,37,32,1023,-0.98,0.49,1.17,-0.43,0.05,0.65,2.92,3.27,-1.68,4,Golfada
18/2021/04 21:22:37,43,33,32,1023,-1.05,0.49,0.99,-0.42,0.03,0.66,3.37,3.98,-2.86,4,Golfada
18/2021/04 21:22:40,31,17,32,1023,-0.65,0.49,1.06,-0.38,-0.01,0.63,3.89,5.37,-0.48,4,Golfada
18/2021/04 21:22:43,33,19,33,1023,-0.21,0.49,0.93,-0.43,0.10,0.66,3.37,4.23,-0.79,4,Golfada
18/2021/04 21:22:46,36,26,31,1023,-0.23,0.49,1.12,-0.43,0.01,0.65,3.37,3.92,-0.83,4,Golfada
18/2021/04 21:22:49,47,39,32,1023,-1.36,0.49,1.06,-0.44,0.03,0.65,3.38,2.46,-0.73,4,Golfada
18/2021/04 21:22:52,32,17,32,1023,-2.00,0.49,1.08,-0.34,0.03,0.66,4.28,4.47,-0.06,4,Golfada
18/2021/04 21:22:55,31,16,33,1023,-0.58,0.49,1.07,-0.36,0.00,0.62,3.76,4.78,-1.01,4,Golfada
18/2021/04 21:22:58,33,22,32,1023,-2.00,0.49,1.08,-0.42,-0.04,0.63,2.85,5.05,-1.85,4,Golfada
18/2021/04 21:23:01,48,36,32,1023,-0.51,0.49,1.05,-0.40,0.00,0.67,3.37,4.40,-1.41,4,Golfada
18/2021/04 21:23:04,32,17,31,1023,-0.89,0.49,1.14,-0.39,0.01,0.61,4.72,4.37,0.21,4,Golfada
18/2021/04 21:23:07,33,21,31,1023,-1.87,0.49,1.09,-0.41,0.04,0.63,3.16,4.50,-1.22,4,Golfada
18/2021/04 21:23:10,41,39,32,1023,-0.73,0.49,1.06,-0.44,0.02,0.65,3.59,2.03,-0.53,4,Golfada
18/2021/04 21:23:13,32,17,32,1023,0.18,0.49,1.03,-0.41,0.02,0.58,4.08,5.28,-1.38,4,Golfada
18/2021/04 21:23:16,32,21,32,1023,0.17,0.49,1.10,-0.37,0.03,0.62,4.05,6.17,-0.73,4,Golfada
18/2021/04 21:23:19,53,40,31,1023,-0.24,0.49,1.10,-0.46,0.02,0.66,3.44,2.89,-1.19,4,Golfada
18/2021/04 21:23:22,31,16,31,1023,-2.00,0.49,1.13,-0.39,0.02,0.64,4.12,3.41,-0.23,4,Golfada
