data,Piezo1,Piezo2,801s,Condutance,dP,InletFlow,OutletFlow,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Airflow,FlowPattern,
18/2021/04 02:38:36,79,66,78,931,-1.90,0.59,1.21,-0.42,0.08,0.62,4.35,1.96,0.96,4,Golfada
18/2021/04 02:38:36,79,67,79,934,-0.69,0.59,1.30,-0.39,0.00,0.62,4.11,4.02,-0.79,4,Golfada
18/2021/04 02:38:36,80,67,79,938,-0.92,0.59,1.23,-0.37,0.02,0.61,3.90,4.88,-1.31,4,Golfada
18/2021/04 02:38:36,80,64,77,938,-0.73,0.59,1.27,-0.41,0.02,0.63,3.48,5.10,-0.97,4,Golfada
18/2021/04 02:38:36,75,63,77,933,-1.90,0.59,1.24,-0.46,-0.01,0.66,3.27,3.18,-1.15,4,Golfada
18/2021/04 02:38:36,77,67,79,928,-1.12,0.58,1.32,-0.41,-0.01,0.65,4.01,3.53,-1.11,4,Golfada
18/2021/04 02:38:36,78,66,77,934,-2.00,0.58,1.30,-0.38,0.00,0.63,3.74,4.53,-0.81,4,Golfada
18/2021/04 02:38:41,77,62,76,936,-0.18,0.59,1.26,-0.38,0.01,0.64,3.53,5.26,-0.69,4,Golfada
18/2021/04 02:38:46,75,62,79,935,-1.87,0.58,1.22,-0.16,-0.03,0.67,6.64,-8.59,3.52,4,Golfada
18/2021/04 02:38:51,75,59,77,932,-0.53,0.58,1.24,-0.34,-0.01,0.60,3.50,1.49,-1.52,4,Golfada
18/2021/04 02:38:56,77,65,76,934,-1.66,0.58,1.25,-0.39,0.01,0.67,3.18,4.36,-1.46,4,Golfada
18/2021/04 02:39:01,79,66,76,937,-0.09,0.58,1.28,-0.40,-0.01,0.64,3.99,3.49,-0.86,4,Golfada
18/2021/04 02:39:06,79,63,78,937,-2.00,0.58,1.27,-0.40,0.02,0.63,3.61,4.20,-0.76,4,Golfada
18/2021/04 02:39:11,75,62,78,936,-0.40,0.58,1.19,-0.45,0.04,0.66,3.27,2.62,-1.24,4,Golfada
18/2021/04 02:39:16,82,69,79,936,-2.00,0.58,1.20,-0.39,0.04,0.62,3.66,2.95,-1.21,4,Golfada
18/2021/04 02:39:21,76,61,77,939,-0.37,0.58,1.27,-0.35,0.11,0.63,3.94,3.55,-0.54,4,Golfada
18/2021/04 02:39:26,77,67,80,937,-0.05,0.58,1.23,-0.45,0.02,0.65,3.41,3.46,-1.35,4,Golfada
18/2021/04 02:39:31,78,68,78,939,2.00,0.58,1.26,-0.39,0.03,0.63,3.91,4.30,-0.60,4,Golfada
18/2021/04 02:39:36,76,63,78,940,-1.29,0.58,1.28,-0.38,0.02,0.65,3.82,7.55,-1.01,4,Golfada
18/2021/04 02:39:41,76,62,77,939,-1.54,0.58,1.23,-0.40,-0.02,0.64,3.29,4.92,-1.15,4,Golfada
18/2021/04 02:39:46,82,68,79,939,-0.32,0.58,1.24,-0.42,0.03,0.63,4.13,2.86,-0.56,4,Golfada
18/2021/04 02:39:51,78,65,76,941,0.98,0.58,1.24,-0.39,-0.00,0.63,4.15,4.02,-0.59,4,Golfada
18/2021/04 02:39:56,76,63,77,942,-2.00,0.58,1.24,-0.43,-0.09,0.60,4.02,4.70,-0.20,4,Golfada
18/2021/04 02:40:01,75,62,78,940,-2.00,0.58,1.19,-0.48,-0.02,0.66,3.40,4.54,-0.99,4,Golfada
18/2021/04 02:40:06,81,68,80,940,-0.37,0.58,1.24,-0.41,-0.01,0.65,3.46,3.38,-1.41,4,Golfada
18/2021/04 02:40:11,80,70,81,938,-2.00,0.58,1.22,-0.34,0.00,0.65,4.23,4.36,-1.21,4,Golfada
18/2021/04 02:40:16,77,63,78,942,-0.26,0.58,1.23,-0.37,-0.02,0.61,3.84,4.85,-0.73,4,Golfada
18/2021/04 02:40:21,75,61,76,943,0.20,0.58,1.19,-0.43,0.01,0.64,3.13,4.17,-1.38,4,Golfada
18/2021/04 02:40:26,81,69,81,940,2.00,0.58,1.17,-0.47,-0.03,0.68,4.18,1.40,-0.47,4,Golfada
18/2021/04 02:40:31,82,69,79,942,0.52,0.58,1.21,-0.43,0.00,0.66,3.98,4.34,-0.99,4,Golfada
18/2021/04 02:40:36,82,64,78,945,-0.57,0.57,1.21,-0.42,0.04,0.64,3.57,6.22,-0.85,4,Golfada
18/2021/04 02:40:41,78,63,79,943,0.30,0.57,1.17,-0.40,0.02,0.63,3.42,5.59,-0.89,4,Golfada
18/2021/04 02:40:46,73,62,77,944,-1.49,0.57,1.23,-0.39,-0.05,0.61,3.39,5.35,-1.76,4,Golfada
18/2021/04 02:40:51,78,66,80,942,-1.16,0.57,1.22,-0.44,-0.01,0.65,3.45,3.73,-0.79,4,Golfada
18/2021/04 02:40:56,76,66,76,942,-1.15,0.57,1.22,-0.43,0.01,0.65,3.77,2.23,-0.40,4,Golfada
18/2021/04 02:41:01,79,64,82,947,-0.35,0.57,1.26,-0.43,-0.05,0.64,3.85,4.24,-0.21,4,Golfada
18/2021/04 02:41:06,77,62,79,942,0.59,0.57,1.19,-0.36,0.04,0.63,3.44,5.06,-1.92,4,Golfada
18/2021/04 02:41:11,79,67,78,937,-2.00,0.57,1.17,-0.45,0.03,0.66,3.85,2.82,-1.31,4,Golfada
18/2021/04 02:41:16,78,64,76,946,-0.33,0.57,1.26,-0.35,0.03,0.60,3.56,4.93,-1.45,4,Golfada
18/2021/04 02:41:21,75,63,77,944,-0.16,0.57,1.17,-0.41,-0.04,0.64,3.63,5.21,-0.97,4,Golfada
18/2021/04 02:41:26,77,66,75,942,-0.10,0.57,1.28,-0.43,0.01,0.65,3.59,2.97,-0.72,4,Golfada
18/2021/04 02:41:31,76,66,77,942,-1.40,0.57,1.26,-0.39,0.01,0.61,3.43,4.26,-0.88,4,Golfada
18/2021/04 02:41:36,77,63,78,945,1.60,0.57,1.23,-0.39,0.01,0.64,3.87,3.11,-0.87,4,Golfada
